Time,PosX,PosY,PosZ
1567044378.496,-18108.44815932265,-7270.8376113393315,17963.7277210955
1567044378.746,-18108.70701689454,-7271.353583937202,17963.2708590451
1567044378.996,-18108.96587512156,-7271.869539805775,17962.813973008706
1567044379.246,-18109.22473400287,-7272.385478944532,17962.357062986914
1567044379.496,-18109.483593537632,-7272.901401352938,17961.900128980364
1567044379.746,-18109.742453725008,-7273.417307030508,17961.443170989733
1567044379.996,-18110.001314564106,-7273.933195976653,17960.986189015603
1567044380.246,-18110.260176054122,-7274.4490681909265,17960.529183058625
1567044380.496,-18110.519038194194,-7274.964923672669,17960.072153119436
1567044380.746,-18110.7779009835,-7275.480762421459,17959.615099198672
1567044380.996,-18111.036764421144,-7275.996584436725,17959.158021296957
1567044381.246,-18111.29562850634,-7276.512389717922,17958.700919414943
1567044381.496,-18111.554493238174,-7277.028178264543,17958.243793553236
1567044381.746,-18111.81335861588,-7277.54395007604,17957.786643712494
1567044381.996,-18112.072224638545,-7278.059705151896,17957.329469893346
1567044382.246,-18112.331091305357,-7278.575443491551,17956.87227209641
1567044382.496,-18112.58995861544,-7279.091165094513,17956.41505032235
1567044382.746,-18112.848826567984,-7279.6068699602365,17955.957804571764
1567044382.996,-18113.107695162125,-7280.1225580882165,17955.50053484531
1567044383.246,-18113.366564397023,-7280.638229477845,17955.04324114362
1567044383.496,-18113.62543427183,-7281.15388412866,17954.585923467333
1567044383.746,-18113.884304785694,-7281.669522040131,17954.128581817065
1567044383.996,-18114.143175937767,-7282.185143211653,17953.67121619345
1567044384.246,-18114.4020477272,-7282.700747642775,17953.21382659715
1567044384.496,-18114.66092015318,-7283.2163353329815,17952.756413028772
1567044384.746,-18114.919793214816,-7283.7319062816605,17952.298975488957
1567044384.996,-18115.178666911284,-7284.2474604882955,17951.841513978346
1567044385.246,-18115.437541241754,-7284.762997952392,17951.384028497574
1567044385.496,-18115.69641620534,-7285.278518673469,17950.926519047265
1567044385.746,-18115.955291801227,-7285.794022650902,17950.468985628067
1567044385.996,-18116.214168028564,-7286.309509884155,17950.011428240592
1567044386.246,-18116.473044886494,-7286.824980372774,17949.5538468855
1567044386.496,-18116.73192237416,-7287.340434116202,17949.096241563406
1567044386.746,-18116.99080049074,-7287.855871113901,17948.63861227495
1567044386.996,-18117.249679235392,-7288.371291365322,17948.18095902078
1567044387.246,-18117.50855860723,-7288.886694869958,17947.72328180151
1567044387.496,-18117.76743860546,-7289.402081627268,17947.265580617794
1567044387.746,-18118.026319229182,-7289.917451636742,17946.807855470244
